Experiment	gen	arm	rep	Cell	seed_J	best_J	valid	invalid	susp	build_ok
API-only	gen=1	Bsl	1	RC101-d50	713.5	660.7	2	1	1	yes
API-only	gen=1	Bsl	1	RC101-d75	549.5	365.9	2	1	0	yes
API-only	gen=1	Bsl	2	RC101-d50	713.5	660.7	3	1	1	yes
API-only	gen=1	Bsl	2	RC101-d75	549.5	409.4	2	1	1	yes
API-only	gen=1	Bsl	3	RC101-d50	713.5	604.6	3	1	0	yes
API-only	gen=1	Bsl	3	RC101-d75	549.5	376.7	3	1	1	yes
API-only	gen=1	RAG	1	RC101-d50	713.5	660.7	3	1	2	yes
API-only	gen=1	RAG	1	RC101-d75	549.5	549.5	2	1	3	yes
API-only	gen=1	RAG	2	RC101-d50	713.5	565.3	3	1	2	yes
API-only	gen=1	RAG	2	RC101-d75	549.5	376.7	3	1	1	yes
API-only	gen=1	RAG	3	RC101-d50	713.5	316.8	5	1	1	yes
API-only	gen=1	RAG	3	RC101-d75	549.5	376.7	5	1	0	yes
History-RAG	gen=1	Bsl	1	RC101-d50	713.5	258.3	5	1	0	yes
History-RAG	gen=1	Bsl	1	RC101-d75	549.5	549.5	2	1	2	yes
History-RAG	gen=1	Bsl	2	RC101-d50	713.5	604.6	4	1	0	yes
History-RAG	gen=1	Bsl	2	RC101-d75	549.5	549.5	1	1	1	yes
History-RAG	gen=1	Bsl	3	RC101-d50	713.5	null	4	1	0	NO
History-RAG	gen=1	Bsl	3	RC101-d75	549.5	456.4	4	1	1	yes
History-RAG	gen=1	RAG	1	RC101-d50	713.5	660.7	3	1	1	yes
History-RAG	gen=1	RAG	1	RC101-d75	549.5	274.3	5	1	1	yes
History-RAG	gen=1	RAG	2	RC101-d50	713.5	566.0	5	1	1	yes
History-RAG	gen=1	RAG	2	RC101-d75	549.5	549.5	4	1	1	yes
History-RAG	gen=1	RAG	3	RC101-d50	713.5	604.6	3	1	2	yes
History-RAG	gen=1	RAG	3	RC101-d75	549.5	321.9	4	1	1	yes
Baseline	gen=16	single	1	RC101-d75	549.5	null	4	0	0	NO
History-RAG	gen=16	single	1	RC101-d75	549.5	266.1	1	0	3	yes
API-only	gen=3	Bsl	1	RC101-d50	713.5	416.3	4	0	4	yes
API-only	gen=3	Bsl	1	RC101-d75	549.5	332.4	6	1	0	yes
API-only	gen=3	Bsl	2	RC101-d50	713.5	713.5	2	1	5	yes
API-only	gen=3	Bsl	2	RC101-d75	549.5	376.7	3	1	2	yes
API-only	gen=3	Bsl	3	RC101-d50	713.5	null	3	0	5	NO
API-only	gen=3	Bsl	3	RC101-d75	549.5	365.9	4	0	4	yes
API-only	gen=3	RAG	1	RC101-d50	713.5	604.6	4	0	4	yes
API-only	gen=3	RAG	1	RC101-d75	549.5	376.7	4	0	4	yes
API-only	gen=3	RAG	2	RC101-d50	713.5	604.6	5	0	3	yes
API-only	gen=3	RAG	2	RC101-d75	549.5	298.0	7	0	1	yes
API-only	gen=3	RAG	3	RC101-d50	713.5	612.2	3	0	5	yes
API-only	gen=3	RAG	3	RC101-d75	549.5	376.7	5	0	3	yes
API-only	gen=8	single	1	RC101-d50	713.5	33.4	0	0	4	yes
API-only	gen=8	single	1	RC101-d75	549.5	438.6	1	0	3	yes
Baseline	gen=8	single	1	RC101-d50	713.5	274.9	3	0	1	yes
Baseline	gen=8	single	1	RC101-d75	549.5	393.3	4	0	0	yes
History-RAG	gen=8	single	1	RC101-d50	713.5	252.2	2	0	2	yes
History-RAG	gen=8	single	1	RC101-d75	549.5	38.3	0	0	4	yes